Bottle,Date,PrDM,DepSM,Latitude,Longitude,T090C,T190C,C0S/m,C1S/m,Sal00,Sal11,Sbeox0ML/L,OxsolML/L,FlSP,CStarAt0,CStarTr0,Ph
1,2017-08-06T08:14:4400Z,221.667,219.763,44.37558,-124.95432,7.0697,7.0705,3.451617,3.451879,33.9763,33.9783,1.5690,6.78584,1.4335e-01,12.3604,4.5498,7.684,(avg)
2,2017-08-06T08:14:5900Z,221.830,219.923,44.37558,-124.95432,7.0680,7.0686,3.451244,3.451574,33.9738,33.9768,1.5855,6.78622,1.5437e-01,12.3584,4.5520,7.688,(avg)
3,2017-08-06T08:16:2200Z,201.825,200.101,44.37558,-124.95430,7.2997,7.3010,3.469085,3.469507,33.9505,33.9538,1.7148,6.75139,1.1140e-01,12.3531,4.5580,7.699,(avg)
4,2017-08-06T08:16:3500Z,201.420,199.699,44.37558,-124.95430,7.3106,7.3103,3.470098,3.470381,33.9511,33.9544,1.7129,6.74969,1.1148e-01,12.3546,4.5563,7.701,(avg)
5,2017-08-06T08:17:4800Z,181.534,179.992,44.37558,-124.95431,7.5226,7.5235,3.487157,3.487540,33.9383,33.9415,1.7688,6.71775,1.4327e-01,12.3567,4.5540,7.703,(avg)
6,2017-08-06T08:18:0100Z,181.551,180.009,44.37558,-124.95430,7.5308,7.5309,3.487852,3.488167,33.9378,33.9411,1.7749,6.71651,1.0400e-01,12.3689,4.5401,7.706,(avg)
7,2017-08-06T08:19:1700Z,161.343,159.980,44.37556,-124.95430,7.6662,7.6665,3.497910,3.498233,33.9240,33.9273,1.8351,6.69651,3.5792e-01,12.3660,4.5434,7.715,(avg)
8,2017-08-06T08:19:2700Z,161.141,159.780,44.37556,-124.95430,7.6667,7.6671,3.497945,3.498273,33.9240,33.9272,1.8369,6.69643,2.6211e-01,12.3692,4.5398,7.715,(avg)
9,2017-08-06T08:20:4400Z,140.997,139.813,44.37556,-124.95430,7.8359,7.8366,3.510366,3.510740,33.9028,33.9061,1.8891,6.67177,1.7839e-01,12.3632,4.5466,7.724,(avg)
10,2017-08-06T08:20:5500Z,141.178,139.992,44.37556,-124.95431,7.8402,7.8401,3.510722,3.511023,33.9023,33.9057,1.8913,6.67114,1.5177e-01,12.3657,4.5437,7.724,(avg)
11,2017-08-06T08:22:0700Z,120.759,119.750,44.37556,-124.95431,8.1369,8.1376,3.532272,3.532653,33.8554,33.8588,2.0292,6.62872,5.1531e-01,12.3856,4.5211,7.737,(avg)
12,2017-08-06T08:22:1700Z,121.033,120.022,44.37555,-124.95430,8.1369,8.1379,3.532326,3.532724,33.8558,33.8591,2.0401,6.62869,2.6041e-01,12.3809,4.5265,7.738,(avg)
13,2017-08-06T08:23:1900Z,101.133,100.293,44.37558,-124.95430,8.3632,8.3640,3.549073,3.549434,33.8253,33.8284,2.2092,6.59645,2.9538e-01,12.3861,4.5206,7.745,(avg)
14,2017-08-06T08:23:3300Z,100.914,100.076,44.37558,-124.95430,8.3637,8.3639,3.549097,3.549443,33.8251,33.8287,2.2139,6.59637,3.3356e-01,12.3884,4.5181,7.746,(avg)
15,2017-08-06T08:24:4000Z,80.818,80.151,44.37558,-124.95430,8.8263,8.8269,3.576666,3.577056,33.6831,33.6866,2.3318,6.53470,7.6968e-01,12.4031,4.5014,7.768,(avg)
16,2017-08-06T08:24:5600Z,81.036,80.367,44.37557,-124.95432,8.8274,8.8279,3.576793,3.577168,33.6833,33.6867,2.3323,6.53454,5.7883e-01,12.3927,4.5132,7.773,(avg)
17,2017-08-06T08:26:1900Z,60.618,60.120,44.37558,-124.95432,8.9573,8.9575,3.566571,3.567179,33.4630,33.4691,2.4708,6.52503,1.0991e+00,12.4711,4.4256,7.795,(avg)
18,2017-08-06T08:26:3400Z,60.559,60.062,44.37558,-124.95432,8.9483,8.9498,3.565214,3.566124,33.4573,33.4654,2.4700,6.52656,1.2710e+00,12.4738,4.4226,7.792,(avg)
19,2017-08-06T08:27:4100Z,40.535,40.204,44.37558,-124.95432,8.9987,8.9963,3.526214,3.526507,33.0130,33.0182,3.1432,6.53803,1.2837e+00,12.4398,4.4603,7.843,(avg)
20,2017-08-06T08:27:5600Z,40.422,40.093,44.37556,-124.95432,8.9930,8.9920,3.526161,3.526540,33.0177,33.0226,3.1264,6.53865,1.3356e+00,12.4482,4.4512,7.853,(avg)
21,2017-08-06T08:29:0500Z,20.380,20.215,44.37558,-124.95432,9.5701,9.5684,3.553959,3.554533,32.7823,32.7897,3.7702,6.46572,1.8182e+00,12.5008,4.3929,7.925,(avg)
22,2017-08-06T08:29:1400Z,20.213,20.049,44.37558,-124.95432,9.5669,9.5621,3.552876,3.552945,32.7742,32.7793,3.7917,6.46651,2.0595e+00,12.4964,4.3976,7.929,(avg)
23,2017-08-06T08:30:1200Z,10.259,10.176,44.37556,-124.95432,10.7120,10.7084,3.645034,3.645277,32.6752,32.6808,5.0672,6.31149,1.1828e+00,12.4828,4.4126,8.082,(avg)
24,2017-08-06T08:30:2300Z,10.297,10.214,44.37556,-124.95432,10.7321,10.7205,3.646811,3.646198,32.6748,32.6792,5.1004,6.30877,9.9211e-01,12.4979,4.3960,8.097,(avg)
