Bottle	Date	PrDM	DepSM	Latitude	Longitude	T090C	T190C	C0S/m	C1S/m	Sal00	Sal11	Sbeox0ML/L	OxsolML/L	FlSP	CStarAt0	CStarTr0	Ph
1	2017-08-17T08:26:0700Z	222.188	220.276	44.52924	-125.39256	7.5535	7.5539	3.496291	3.496685	33.9874	33.9913	1.2006	6.71087	6.5858e-02	12.4376	4.4628	7.626	(avg)
2	2017-08-17T08:26:1600Z	222.305	220.391	44.52924	-125.39256	7.5535	7.5539	3.496284	3.496679	33.9873	33.9912	1.1993	6.71088	6.5519e-02	12.4372	4.4632	7.626	(avg)
3	2017-08-17T08:27:2900Z	202.511	200.777	44.52924	-125.39255	7.5877	7.5886	3.498004	3.498436	33.9820	33.9858	1.1836	6.70591	6.5972e-02	12.4410	4.4589	7.621	(avg)
4	2017-08-17T08:27:4000Z	202.574	200.840	44.52924	-125.39256	7.5877	7.5881	3.498015	3.498406	33.9820	33.9858	1.1823	6.70590	6.7784e-02	12.4415	4.4585	7.621	(avg)
5	2017-08-17T08:29:1400Z	181.824	180.277	44.52924	-125.39255	7.6224	7.6229	3.498984	3.499382	33.9685	33.9724	1.1760	6.70121	6.9748e-02	12.4263	4.4753	7.616	(avg)
6	2017-08-17T08:29:2700Z	182.037	180.487	44.52924	-125.39254	7.6225	7.6229	3.498951	3.499347	33.9680	33.9719	1.1801	6.70122	6.4952e-02	12.4255	4.4763	7.616	(avg)
7	2017-08-17T08:30:4400Z	161.570	160.203	44.52924	-125.39255	7.6311	7.6312	3.497037	3.497444	33.9488	33.9530	1.2081	6.70076	6.6765e-02	12.4020	4.5027	7.616	(avg)
8	2017-08-17T08:30:5300Z	161.878	160.508	44.52923	-125.39255	7.6304	7.6305	3.497076	3.497463	33.9497	33.9538	1.2081	6.70083	6.8275e-02	12.4042	4.5002	7.618	(avg)
9	2017-08-17T08:32:1500Z	140.491	139.309	44.52924	-125.39256	7.7215	7.7221	3.503069	3.503478	33.9357	33.9396	1.2905	6.68761	6.5179e-02	12.4014	4.5034	7.621	(avg)
10	2017-08-17T08:32:2400Z	140.801	139.617	44.52924	-125.39256	7.7216	7.7221	3.503099	3.503511	33.9358	33.9398	1.2897	6.68760	6.6085e-02	12.4078	4.4963	7.622	(avg)
11	2017-08-17T08:33:4300Z	121.754	120.735	44.52923	-125.39256	7.9533	7.9539	3.518968	3.519371	33.8903	33.8941	1.7361	6.65466	6.4386e-02	12.3804	4.5271	7.672	(avg)
12	2017-08-17T08:33:5200Z	122.284	121.261	44.52924	-125.39256	7.9462	7.9480	3.518646	3.519104	33.8935	33.8967	1.7377	6.65558	6.6576e-02	12.3809	4.5265	7.678	(avg)
13	2017-08-17T08:35:3300Z	102.050	101.201	44.52924	-125.39256	8.2883	8.2897	3.543616	3.544076	33.8390	33.8426	2.0842	6.60693	7.1447e-02	12.3689	4.5401	7.733	(avg)
14	2017-08-17T08:35:3800Z	102.539	101.686	44.52922	-125.39256	8.2871	8.2876	3.543579	3.543983	33.8395	33.8433	2.0817	6.60708	6.9106e-02	12.3682	4.5408	7.733	(avg)
15	2017-08-17T08:37:1500Z	81.222	80.551	44.52922	-125.39255	8.8909	8.8916	3.582257	3.582717	33.6801	33.6843	2.3714	6.52547	7.8924e-02	12.3594	4.5509	7.776	(avg)
16	2017-08-17T08:37:2400Z	80.894	80.225	44.52922	-125.39256	8.9021	8.9054	3.582750	3.583313	33.6747	33.6775	2.3733	6.52407	7.9151e-02	12.3585	4.5519	7.778	(avg)
17	2017-08-17T08:39:2600Z	61.194	60.691	44.52924	-125.39256	9.3890	9.3904	3.562877	3.563786	33.0220	33.0300	3.5925	6.48151	3.0697e-01	12.3682	4.5408	7.936	(avg)
18	2017-08-17T08:40:0000Z	61.196	60.693	44.52922	-125.39254	9.3878	9.3875	3.563025	3.563727	33.0246	33.0321	3.6197	6.48157	2.6302e-01	12.3690	4.5400	7.944	(avg)
19	2017-08-17T08:41:4400Z	40.844	40.510	44.52922	-125.39256	10.8232	10.8225	3.659059	3.659428	32.7023	32.7066	4.7786	6.29533	5.4741e-01	12.3935	4.5122	8.104	(avg)
20	2017-08-17T08:41:5400Z	40.657	40.325	44.52922	-125.39256	10.8253	10.8304	3.659230	3.660063	32.7022	32.7059	4.7741	6.29504	5.8619e-01	12.3930	4.5129	8.107	(avg)
21	2017-08-17T08:43:0600Z	20.196	20.032	44.52922	-125.39256	15.3744	15.3710	4.064674	4.064908	32.6164	32.6213	4.5678	5.73365	3.2888e-01	12.4508	4.4481	8.149	(avg)
22	2017-08-17T08:43:1700Z	20.179	20.016	44.52922	-125.39256	15.3954	15.3989	4.066700	4.067470	32.6171	32.6211	4.5682	5.73123	3.3851e-01	12.4522	4.4465	8.152	(avg)
23	2017-08-17T08:44:1400Z	10.642	10.556	44.52922	-125.39256	17.0919	17.0721	4.117332	4.116496	31.6944	31.7028	4.3423	5.57510	2.5596e-01	12.4413	4.4587	8.240	(avg)
24	2017-08-17T08:44:2200Z	10.231	10.148	44.52922	-125.39256	17.1126	17.1129	4.118894	4.119395	31.6918	31.6958	4.3348	5.57296	2.7257e-01	12.4408	4.4592	8.242	(avg)
