Bottle,Date,PrDM,DepSM,Latitude,Longitude,T090C,T190C,C0S/m,C1S/m,Sal00,Sal11,Sbeox0ML/L,OxsolML/L,FlSP,CStarAt0,CStarTr0,Ph
1,2017-08-13T20:55:0700Z,2636.939,2599.026,45.83050,-129.74718,1.8105,1.8109,3.142352,3.142563,34.6215,34.6235,1.2729,7.66697,5.1433e-02,12.3355,4.5782,-2.450,(avg)
2,2017-08-13T20:55:1700Z,2636.708,2598.799,45.83050,-129.74718,1.8104,1.8109,3.142338,3.142555,34.6215,34.6236,1.2717,7.66698,5.1471e-02,12.3356,4.5781,-2.448,(avg)
3,2017-08-13T20:55:2600Z,2636.577,2598.671,45.83050,-129.74718,1.8104,1.8109,3.142335,3.142550,34.6215,34.6236,1.2726,7.66698,5.1697e-02,12.3359,4.5776,-2.449,(avg)
4,2017-08-13T20:56:3600Z,2636.360,2598.459,45.83051,-129.74717,1.8105,1.8110,3.142330,3.142549,34.6214,34.6235,1.2721,7.66696,5.1509e-02,12.3357,4.5779,-2.450,(avg)
5,2017-08-13T21:24:2200Z,1515.179,1497.322,45.83050,-129.74718,2.4245,2.4246,3.142463,3.142703,34.5168,34.5197,0.4999,7.55526,5.8759e-02,12.3316,4.5826,-2.421,(avg)
6,2017-08-13T21:24:2900Z,1516.534,1498.656,45.83050,-129.74718,2.4255,2.4255,3.142592,3.142826,34.5166,34.5195,0.5006,7.55508,5.8532e-02,12.3318,4.5824,-2.423,(avg)
7,2017-08-13T21:24:3700Z,1516.262,1498.388,45.83050,-129.74718,2.4259,2.4261,3.142599,3.142842,34.5165,34.5193,0.5015,7.55502,5.8381e-02,12.3319,4.5823,-2.421,(avg)
8,2017-08-13T21:24:5800Z,1516.430,1498.554,45.83050,-129.74718,2.4255,2.4259,3.142602,3.142859,34.5168,34.5195,0.5015,7.55508,5.8268e-02,12.3316,4.5826,-2.421,(avg)
9,2017-08-13T21:34:5000Z,963.930,953.817,45.83050,-129.74718,3.3694,3.3681,3.188455,3.188631,34.3556,34.3590,0.1702,7.38898,6.0912e-02,12.3337,4.5802,-2.390,(avg)
10,2017-08-13T21:35:0100Z,963.796,953.685,45.83050,-129.74718,3.3739,3.3737,3.188727,3.188980,34.3542,34.3574,0.1706,7.38823,6.0987e-02,12.3339,4.5800,-2.391,(avg)
11,2017-08-13T21:48:5100Z,201.406,199.658,45.83050,-129.74716,7.1663,7.1704,3.451289,3.451971,33.8876,33.8910,2.6850,6.77480,5.7966e-02,12.3468,4.5652,-2.264,(avg)
12,2017-08-13T21:49:1000Z,201.089,199.344,45.83050,-129.74718,7.1719,7.1742,3.451772,3.452309,33.8875,33.8912,2.6868,6.77393,5.8835e-02,12.3470,4.5649,-2.263,(avg)
13,2017-08-13T21:51:5700Z,100.407,99.560,45.83050,-129.74718,8.2173,8.2183,3.458533,3.459436,33.0046,33.0133,4.0234,6.65349,2.8568e-01,12.3541,4.5569,-2.230,(avg)
14,2017-08-13T21:52:1900Z,100.642,99.793,45.83052,-129.74718,8.2204,8.2209,3.461047,3.461841,33.0282,33.0362,3.9891,6.65201,2.9599e-01,12.3520,4.5593,-2.230,(avg)
15,2017-08-13T21:54:1300Z,80.490,79.815,45.83050,-129.74717,8.2290,8.2295,3.432416,3.432960,32.7261,32.7314,4.6435,6.66380,5.6520e-01,12.3663,4.5430,-2.230,(avg)
16,2017-08-13T21:54:2500Z,80.636,79.960,45.83051,-129.74716,8.2294,8.2298,3.432387,3.432686,32.7254,32.7282,4.6492,6.66378,5.8906e-01,12.3715,4.5371,-2.230,(avg)
17,2017-08-13T21:56:2400Z,45.727,45.347,45.83050,-129.74716,11.3554,11.3670,3.696405,3.698220,32.5965,32.6040,5.3318,6.22828,1.3730e+00,12.4836,4.4117,-2.135,(avg)
18,2017-08-13T21:56:3500Z,45.509,45.131,45.83050,-129.74716,11.5329,11.6190,3.711891,3.719902,32.5918,32.5942,5.3172,6.20501,1.2287e+00,12.4806,4.4150,-2.126,(avg)
19,2017-08-13T21:58:0300Z,20.252,20.085,45.83052,-129.74718,17.1547,17.1562,4.231644,4.232219,32.6238,32.6276,4.2205,5.53713,1.8187e-01,12.3991,4.5059,-1.952,(avg)
20,2017-08-13T21:58:1200Z,20.089,19.923,45.83052,-129.74716,17.1551,17.1560,4.231808,4.232322,32.6250,32.6287,4.2197,5.53705,1.8300e-01,12.3988,4.5063,-1.954,(avg)
21,2017-08-13T21:59:1500Z,10.361,10.276,45.83050,-129.74716,17.2335,17.2304,4.238414,4.238652,32.6220,32.6265,4.2299,5.52880,1.3021e-01,12.3944,4.5112,-1.948,(avg)
22,2017-08-13T21:59:2500Z,10.324,10.239,45.83050,-129.74717,17.2417,17.2367,4.239087,4.239238,32.6212,32.6265,4.2234,5.52795,1.2654e-01,12.3944,4.5113,-1.950,(avg)
23,2017-08-13T22:00:3000Z,2.372,2.352,45.83050,-129.74714,17.3151,17.3124,4.245507,4.245781,32.6199,32.6245,4.2284,5.52019,9.1613e-02,12.3938,4.5119,-1.946,(avg)
24,2017-08-13T22:00:3700Z,2.049,2.032,45.83050,-129.74714,17.3137,17.3127,4.245362,4.245794,32.6199,32.6245,4.2207,5.52034,8.9574e-02,12.3934,4.5123,-1.946,(avg)
