Bottle,Date,PrDM,DepSM,Latitude,Longitude,T090C,T190C,C0S/m,C1S/m,Sal00,Sal11,Sbeox0ML/L,OxsolML/L,FlSP,CStarAt0,CStarTr0,Ph
1,2017-08-03T14:14:0200Z,2944.156,2900.118,44.51072,-125.38962,1.7074,1.7079,3.146920,3.147117,34.6444,34.6463,1.4349,7.68573,5.7551e-02,12.3404,4.5725,0.145,(avg)
2,2017-08-03T14:14:0500Z,2944.003,2899.968,44.51072,-125.38962,1.7073,1.7079,3.146922,3.147115,34.6446,34.6463,1.4354,7.68573,5.6833e-02,12.3404,4.5725,0.142,(avg)
3,2017-08-03T14:21:4700Z,2537.382,2501.783,44.51072,-125.38960,1.7287,1.7292,3.132527,3.132732,34.6349,34.6368,1.4196,7.68209,5.1395e-02,12.3160,4.6005,0.280,(avg)
4,2017-08-03T14:21:5300Z,2537.041,2501.449,44.51072,-125.38960,1.7289,1.7296,3.132525,3.132730,34.6348,34.6367,1.4185,7.68205,5.1131e-02,12.3161,4.6004,0.280,(avg)
5,2017-08-03T14:31:2000Z,2025.804,1999.768,44.51074,-125.38962,1.9064,1.9069,3.125294,3.125514,34.6037,34.6059,1.1333,7.64939,5.2113e-02,12.3211,4.5947,0.330,(avg)
6,2017-08-03T14:31:3100Z,2026.311,2000.266,44.51074,-125.38960,1.9073,1.9079,3.125379,3.125607,34.6036,34.6057,1.1324,7.64924,5.2717e-02,12.3206,4.5952,0.336,(avg)
7,2017-08-03T14:40:5400Z,1517.979,1500.262,44.51072,-125.38960,2.6093,2.6096,3.159422,3.159653,34.5257,34.5281,0.5695,7.52014,5.8117e-02,12.3220,4.5936,0.398,(avg)
8,2017-08-03T14:41:0000Z,1518.301,1500.579,44.51072,-125.38960,2.6080,2.6072,3.159328,3.159460,34.5258,34.5282,0.5693,7.52038,5.8117e-02,12.3224,4.5931,0.400,(avg)
9,2017-08-03T14:50:1200Z,1011.358,1000.757,44.51073,-125.38960,3.7717,3.7715,3.229366,3.229599,34.3976,34.4006,0.1871,7.31467,6.0270e-02,12.3213,4.5944,0.395,(avg)
10,2017-08-03T14:50:1900Z,1012.146,1001.535,44.51074,-125.38960,3.7719,3.7714,3.229435,3.229648,34.3978,34.4008,0.1852,7.31463,6.0609e-02,12.3212,4.5945,0.394,(avg)
11,2017-08-03T14:50:3300Z,1012.119,1001.507,44.51074,-125.38960,3.7752,3.7766,3.229657,3.230013,34.3971,34.3998,0.1859,7.31408,6.0647e-02,12.3216,4.5940,0.397,(avg)
12,2017-08-03T15:00:1200Z,504.285,499.605,44.51074,-125.38960,5.5137,5.5143,3.338016,3.338361,34.1233,34.1266,0.5196,7.02882,6.1856e-02,12.3558,4.5550,0.271,(avg)
13,2017-08-03T15:05:2600Z,252.808,250.613,44.51070,-125.38960,6.9027,6.9030,3.439327,3.439684,33.9911,33.9946,1.4006,6.81123,6.8464e-02,12.3589,4.5515,0.001,(avg)
14,2017-08-03T15:05:3300Z,252.479,250.288,44.51070,-125.38960,6.9023,6.9026,3.439277,3.439623,33.9910,33.9945,1.4030,6.81129,6.6538e-02,12.3590,4.5513,-0.003,(avg)
15,2017-08-03T15:08:5600Z,102.429,101.577,44.51074,-125.38960,8.3573,8.3577,3.544955,3.545353,33.7867,33.7905,1.9863,6.59897,1.4146e-01,12.3586,4.5518,-2.772,(avg)
16,2017-08-03T15:09:1900Z,101.398,100.555,44.51074,-125.38960,8.3588,8.3595,3.544762,3.545131,33.7837,33.7869,1.9827,6.59887,1.2277e-01,12.3593,4.5510,-2.772,(avg)
17,2017-08-03T15:12:0100Z,52.028,51.602,44.51074,-125.38960,9.3394,9.3403,3.555586,3.555952,32.9967,32.9996,3.4488,6.48965,5.1815e-01,12.3717,4.5369,-2.738,(avg)
18,2017-08-03T15:12:1800Z,51.805,51.380,44.51074,-125.38960,9.3438,9.3441,3.555309,3.555767,32.9899,32.9943,3.4529,6.48931,6.0557e-01,12.3686,4.5405,-2.738,(avg)
19,2017-08-03T15:13:2200Z,40.590,40.258,44.51074,-125.38960,9.4848,9.4806,3.547346,3.547609,32.7834,32.7899,3.9792,6.47780,1.0959e+00,12.4019,4.5028,-2.733,(avg)
20,2017-08-03T15:13:3100Z,40.795,40.461,44.51074,-125.38960,9.4828,9.4825,3.547079,3.547424,32.7824,32.7862,3.9970,6.47813,1.1174e+00,12.4027,4.5018,-2.733,(avg)
21,2017-08-03T15:14:4700Z,20.599,20.431,44.51074,-125.38960,11.3363,11.3625,3.679359,3.681600,32.4566,32.4555,5.0905,6.23633,8.8743e-01,12.5534,4.3356,-2.670,(avg)
22,2017-08-03T15:14:5400Z,20.403,20.238,44.51074,-125.38960,11.3425,11.3357,3.679788,3.679873,32.4554,32.4623,5.0812,6.23556,1.0236e+00,12.5527,4.3362,-2.669,(avg)
23,2017-08-03T15:15:5600Z,10.300,10.216,44.51074,-125.38960,12.9826,13.0296,3.803980,3.808226,32.2355,32.2355,4.9870,6.03280,4.0935e-01,12.4731,4.4234,-2.614,(avg)
24,2017-08-03T15:16:0500Z,10.450,10.365,44.51074,-125.38960,13.0938,13.0662,3.812901,3.811298,32.2249,32.2333,4.9758,6.01933,4.3865e-01,12.4742,4.4222,-2.610,(avg)
