Bottle	Date	PrDM	DepSM	Latitude	Longitude	T090C	T190C	C0S/m	C1S/m	Sal00	Sal11	Sbeox0ML/L	OxsolML/L	FlSP	CStarAt0	CStarTr0	Ph
1	2017-08-01T08:40:2100Z	222.219	220.279	45.83066	-129.74988	6.9087	6.9150	3.429744	3.430636	33.8947	33.8984	2.3342	6.81461	5.8608e-02	12.3365	4.5769	7.756	(avg)
2	2017-08-01T08:40:2900Z	222.227	220.288	45.83066	-129.74988	6.9138	6.9143	3.430230	3.430620	33.8951	33.8988	2.3421	6.81380	5.8042e-02	12.3366	4.5768	7.758	(avg)
3	2017-08-01T08:41:4000Z	202.105	200.351	45.83064	-129.74988	7.1538	7.1624	3.450172	3.451229	33.8873	33.8904	2.5151	6.77674	6.8766e-02	12.3376	4.5758	7.780	(avg)
4	2017-08-01T08:41:5100Z	202.180	200.425	45.83064	-129.74987	7.1644	7.1690	3.451093	3.451834	33.8869	33.8905	2.5235	6.77511	5.7249e-02	12.3380	4.5753	7.783	(avg)
5	2017-08-01T08:43:0300Z	182.126	180.554	45.83064	-129.74988	7.4402	7.4531	3.473871	3.475305	33.8746	33.8775	2.7323	6.73316	6.2007e-02	12.3361	4.5774	7.815	(avg)
6	2017-08-01T08:43:1200Z	182.116	180.544	45.83064	-129.74988	7.4898	7.5156	3.477978	3.480458	33.8707	33.8723	2.7619	6.72574	6.0383e-02	12.3360	4.5776	7.815	(avg)
7	2017-08-01T08:44:3000Z	161.635	160.248	45.83064	-129.74988	7.7163	7.7252	3.495214	3.496173	33.8461	33.8479	2.9207	6.69232	6.7256e-02	12.3347	4.5791	7.838	(avg)
8	2017-08-01T08:44:4200Z	161.515	160.129	45.83062	-129.74988	7.7439	7.7433	3.497212	3.497510	33.8409	33.8447	2.9378	6.68837	6.4423e-02	12.3348	4.5790	7.842	(avg)
9	2017-08-01T08:45:5600Z	141.650	140.441	45.83064	-129.74988	7.9407	7.9432	3.506956	3.507389	33.7645	33.7667	3.0548	6.66202	8.1530e-02	12.3321	4.5820	7.856	(avg)
10	2017-08-01T08:46:0400Z	141.625	140.416	45.83064	-129.74988	7.9487	7.9623	3.507260	3.508120	33.7600	33.7561	3.0617	6.66100	7.6243e-02	12.3329	4.5811	7.856	(avg)
11	2017-08-01T08:47:1600Z	121.347	120.318	45.83066	-129.74988	8.1120	8.1225	3.509207	3.509504	33.6332	33.6264	3.1009	6.64203	9.9770e-02	12.3320	4.5822	7.865	(avg)
12	2017-08-01T08:47:3200Z	121.381	120.351	45.83064	-129.74988	8.1463	8.1498	3.508854	3.509172	33.5967	33.5966	3.1229	6.63850	1.0744e-01	12.3307	4.5836	7.864	(avg)
13	2017-08-01T08:48:4200Z	101.355	100.500	45.83064	-129.74986	8.2536	8.2539	3.465111	3.465709	33.0398	33.0458	3.9057	6.64655	3.2359e-01	12.3391	4.5740	7.922	(avg)
14	2017-08-01T08:48:5600Z	101.566	100.709	45.83064	-129.74986	8.2558	8.2558	3.468304	3.468287	33.0714	33.0712	3.8774	6.64485	2.9761e-01	12.3381	4.5752	7.935	(avg)
15	2017-08-01T08:50:0900Z	80.774	80.097	45.83066	-129.74988	8.3074	8.3071	3.437507	3.437775	32.7069	32.7101	4.6568	6.65290	5.9061e-01	12.3600	4.5502	8.020	(avg)
16	2017-08-01T08:50:1800Z	80.608	79.932	45.83066	-129.74988	8.3080	8.3069	3.437556	3.437732	32.7070	32.7098	4.6600	6.65282	6.1807e-01	12.3603	4.5499	8.027	(avg)
17	2017-08-01T08:51:3400Z	60.457	59.952	45.83064	-129.74986	9.0879	9.0875	3.497599	3.497951	32.6246	32.6286	5.0090	6.54151	1.6485e+00	12.4372	4.4632	8.073	(avg)
18	2017-08-01T08:51:4500Z	60.409	59.905	45.83064	-129.74986	9.0862	9.0873	3.497539	3.497995	32.6255	32.6293	5.0065	6.54171	1.7433e+00	12.4370	4.4634	8.079	(avg)
19	2017-08-01T08:52:5000Z	40.150	39.817	45.83064	-129.74988	10.5532	10.5751	3.624925	3.626835	32.6036	32.6031	5.3490	6.33603	2.1857e+00	12.4948	4.3994	8.143	(avg)
20	2017-08-01T08:53:0000Z	40.080	39.748	45.83064	-129.74988	10.8133	10.9037	3.647968	3.656190	32.6012	32.6024	5.3568	6.30073	2.3236e+00	12.5135	4.3788	8.145	(avg)
21	2017-08-01T08:54:0400Z	20.139	19.973	45.83064	-129.74988	15.9488	15.9785	4.115698	4.118604	32.5957	32.5969	4.5011	5.66966	3.5958e-01	12.4011	4.5037	8.130	(avg)
22	2017-08-01T08:54:1200Z	20.180	20.014	45.83064	-129.74988	15.9860	15.9773	4.119757	4.119493	32.6009	32.6057	4.4407	5.66533	3.5720e-01	12.4003	4.5046	8.135	(avg)
23	2017-08-01T08:55:0000Z	10.138	10.054	45.83066	-129.74988	17.1638	17.1617	4.230904	4.231057	32.6137	32.6168	4.3000	5.53650	1.9055e-01	12.3765	4.5315	8.135	(avg)
24	2017-08-01T08:55:1000Z	9.911	9.829	45.83066	-129.74988	16.9369	16.9293	4.209979	4.209922	32.6170	32.6226	4.3220	5.56071	1.9308e-01	12.3772	4.5306	8.142	(avg)
